證券代碼,年月,週轉率％_月,法人持股%,報酬率％_月
1101 台泥,2012/3/30,7.1042,74.76,-8.4768
1102 亞泥,2012/3/30,3.4507,79.6,-4.5154
1103 嘉泥,2012/3/30,2.3141,52.95,-2.8573
1104 環泥,2012/3/30,2.009,44.79,-4.0132
1108 幸福,2012/3/30,1.9457,46.03,0.3366
1109 信大,2012/3/30,0.5672,10.5,-1.3825
1110 東泥,2012/3/30,1.4514,72.12,1.3214
1201 味全,2012/3/30,10.34,54.27,-6.5433
1203 味王,2012/3/30,2.5758,65.88,2.1378
1210 大成,2012/3/30,13.5592,58.79,-7.0769
1215 卜蜂,2012/3/30,8.952,43.61,-10.6509
1216 統一,2012/3/30,3.4102,63.23,-9.323
1217 愛之味,2012/3/30,11.1698,27.47,-8.6363
1218 泰山,2012/3/30,25.2029,22.42,-4.8048
1219 福壽,2012/3/30,1.8155,21.91,-1.5337
1220 台榮,2012/3/30,3.3392,24.98,-3.2257
1225 福懋油,2012/3/30,5.9838,36.69,-3.0188
1227 佳格,2012/3/30,12.5873,30.96,-3.8276
1229 聯華,2012/3/30,7.2564,51.45,-2.5317
1231 聯華食,2012/3/30,23.1366,32.74,-4.9809
1232 大統益,2012/3/30,1.324,81.49,0.7986
1233 天仁,2012/3/30,4.2918,38.71,2.7196
1234 黑松,2012/3/30,8.8099,33.83,25.8881
1235 興泰,2012/3/30,8.836,53.46,-10.8621
1236 宏亞,2012/3/30,1.5504,26.29,-2.7239
1301 台塑,2012/3/30,2.6885,74.39,-5.5435
1303 南亞,2012/3/30,1.7611,72.28,-7.6178
1304 台聚,2012/3/30,13.0225,55.1,-2.0199
1305 華夏,2012/3/30,27.6401,55.33,-1.6878
1307 三芳,2012/3/30,0.8597,50.36,-0.7752
1308 亞聚,2012/3/30,10.1897,54.56,0.9213
1309 台達化,2012/3/30,8.0196,52.52,-11.7022
1310 台苯,2012/3/30,6.5117,21.48,-10.329
1312 國喬,2012/3/30,19.3146,50.76,-8.6666
1313 聯成,2012/3/30,4.6383,64.4,-7.6713
1314 中石化,2012/3/30,26.5249,52.29,-11.6554
1315 達新,2012/3/30,3.9391,42.13,5.0986
1316 上曜,2012/3/30,20.3596,13.64,-21.4859
1319 東陽,2012/3/30,5.3156,51.59,-12.6565
1321 大洋,2012/3/30,5.4091,16.26,-3.1111
1323 永裕,2012/3/30,6.1494,18.11,6.9949
1324 地球,2012/3/30,3.316,9.5,-1.4652
1325 恒大,2012/3/30,7.3985,29.61,-6.8064
1326 台化,2012/3/30,2.6596,77.63,-6.3043
1337 再生-KY,2012/3/30,7.1792,89.85,0.117
1338 廣華-KY,2012/3/30,0.9413,41.45,-4.878
1339 昭輝,2012/3/30,2.2202,47.68,-1.5827
1402 遠東新,2012/3/30,4.4536,85.04,-9.5364
1409 新纖,2012/3/30,21.8605,48.59,-0.4926
1410 南染,2012/3/30,7.4744,22.65,-0.8772
1413 宏洲,2012/3/30,2.0031,17.27,-18.928
1414 東和,2012/3/30,68.4868,23.07,2.3622
1416 廣豐,2012/3/30,15.8621,25.16,7.8432
1417 嘉裕,2012/3/30,24.8737,27.74,-12.3215
1418 東華,2012/3/30,2.8963,27.68,-2.5
1419 新紡,2012/3/30,15.4932,76.42,-2.6253
1423 利華,2012/3/30,2.5977,35.32,-5.6511
1432 大魯閣,2012/3/30,1.6903,65.43,-8.6568
1434 福懋,2012/3/30,1.3524,74.48,-2.8861
1435 中福,2012/3/30,3.5241,20.54,-13.3334
1436 華友聯,2012/3/30,3.9166,55.99,15.909
1437 勤益控,2012/3/30,4.5381,22.18,-6.9401
1438 三地開發,2012/3/30,0.6464,21.06,22.1651
1439 中和,2012/3/30,5.925,51.32,-11.5911
1440 南紡,2012/3/30,11.8564,27.4,-3.9854
1441 大東,2012/3/30,33.2646,27.27,-7.95
1442 名軒,2012/3/30,13.1303,30.18,8.4113
1443 立益,2012/3/30,2.6606,13.58,-11.5323
1444 力麗,2012/3/30,15.9355,45.87,-2.7237
1445 大宇,2012/3/30,4.6781,21.37,1.5384
1446 宏和,2012/3/30,2.2082,42.93,-7.3335
1447 力鵬,2012/3/30,16.0077,58,-12.7119
1449 佳和,2012/3/30,0.3168,26.58,-32.8
1451 年興,2012/3/30,3.231,47.15,-5.4055
1452 宏益,2012/3/30,6.4859,15.44,-9.5282
1453 大將,2012/3/30,1.2519,31.47,-1.9543
1454 台富,2012/3/30,4.1943,22.31,-0.6257
1455 集盛,2012/3/30,16.8621,12.73,-23.5495
1456 怡華,2012/3/30,0.0651,12.22,-18.5392
1457 宜進,2012/3/30,12.5635,30.56,-7.7584
